"req_id","req_status","priority","contract_refs","invariant_refs","scenario_refs","error_refs","evidence_level","coverage_status","notes","executed_evidence"
"REQ-A1","KC","P0","contracts/data/entities.yaml;contracts/errors.yaml;contracts/ops/collector-probe.md;contracts/ops/deployment.md;contracts/retry-policy.yaml;contracts/schemas/worker-assignment.schema.json;contracts/state/analysis.yaml;contracts/state/delivery.yaml;contracts/state/report.yaml;contracts/state/run.yaml;contracts/state/storage.yaml;precode/baseline.json;precode/decision-register.md","","","","E0","PARTIAL","AMD-B05 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · KC: cần đo thật, phê chuẩn không thay thế được phép đo · phủ bằng cổng SP1/G6/G7 (precode/gates.yaml), không bằng scenario · có hợp đồng, chưa có scenario",""
"REQ-A2","KC","P0","contracts/data/entities.yaml;contracts/data/identity.md;contracts/ops/collector-probe.md;contracts/reporting/selection.md;contracts/reporting/time-and-tags.md;contracts/schemas/report.schema.json;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","","","","E0","PARTIAL","KC: cần đo thật, phê chuẩn không thay thế được phép đo · phủ bằng cổng SP1/G6/G7 (precode/gates.yaml), không bằng scenario · có hợp đồng, chưa có scenario",""
"REQ-A3","KC","P0","contracts/reporting/selection.md;precode/baseline.json","I05;I06;I12","SC24;SC52","CONFLICT;EMBEDDING_GENERATION_MISMATCH;STORAGE_WRITE_FAILED;TAG_VERSION_STALE","E2","COVERED","KC: cần đo thật, phê chuẩn không thay thế được phép đo · fixture: n-embedding-generation-switch-positive.json","E2: SC24"
"REQ-A4","KC","P0","contracts/ai/grounding.md;contracts/reporting/selection.md;contracts/reporting/time-and-tags.md;contracts/schemas/report.schema.json;precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","","","","E0","PARTIAL","blocked_by B14 — RATIFIED (OD-20260907-01) · KC: cần đo thật, phê chuẩn không thay thế được phép đo · phủ bằng cổng SP1/G6/G7 (precode/gates.yaml), không bằng scenario · fixture: m-density-worked-example.json · có hợp đồng, chưa có scenario",""
"REQ-A5","KC","P0","contracts/ai/grounding.md;contracts/ai/providers.yaml;contracts/ai/tasks.yaml;contracts/capabilities.yaml;contracts/data/entities.yaml;contracts/ops/cli-acp-probe.md;contracts/ops/collector-probe.md;contracts/ops/internet-boundary.md;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/state/analysis.yaml;precode/baseline.json;precode/decision-register.md","I11;I14","SC16","AI_ATTEMPT_UNCERTAIN;AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CAPABILITY_DENIED","E3","COVERED","blocked_by B13 — RATIFIED (OD-20260907-01) · KC: cần đo thật, phê chuẩn không thay thế được phép đo","PARTIAL_E1_E2: SC16"
"REQ-A6","XN","P0","contracts/data/entities.yaml;contracts/errors.yaml;contracts/ops/collector-probe.md;contracts/ops/internet-boundary.md;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/state/analysis.yaml;contracts/state/delivery.yaml;contracts/state/report.yaml;contracts/state/run.yaml;contracts/state/storage.yaml;contracts/telegram/delivery.md;precode/baseline.json;precode/decision-register.md","I11","SC39","CAPABILITY_DENIED;RATE_LIMITED;SOURCE_METADATA_UNAVAILABLE","E2","COVERED","XN 2026-09-07 theo OD-20260907-04 mục 2 (AUTH-OWNER-20260907-05): đồng bộ với precode/requirements.csv. Dòng này ĐƯỢC GIẢI BẰNG TÀI LIỆU, không bằng phép đo — cả bốn dữ kiện đọc từ tài liệu chính thức ngày 2026-09-07 (arXiv 1 request/3 giây và 1 kết nối; OpenAlex 100 request/giây; không nguồn nào đòi định danh, api_key tùy chọn), xem precode/decision-register.md §8.13.2 và evidence/handoffs/PC03-REQA6-handoff.md. Ghi chú cũ (cần đo thật) đúng cho một REQ-A6 chưa ai được phép đọc tài liệu; nó không còn mô tả trạng thái hiện tại. Nhãn DOCS_derived của contracts/retry-policy.yaml v0.8.0 hết hiệu lực khi nguồn đổi chính sách, nên XN này có hạn dùng.","PARTIAL_E1_E2: SC39"
"REQ-A7","KC","P0","contracts/data/entities.yaml;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ops/collector-probe.md;contracts/retry-policy.yaml;contracts/schemas/worker-assignment.schema.json;contracts/state/run.yaml;precode/baseline.json;precode/decision-register.md","I02;I10;I13","SC04","STALE_LEASE;WORKER_LEASE_EXPIRED;X_CHALLENGE_REQUIRED","E2","COVERED","AMD-B05 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · KC: cần đo thật, phê chuẩn không thay thế được phép đo","PARTIAL_E1_E2: SC04"
"REQ-OQ01","ĐX","P0","contracts/modules.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","I01;I11;I12","SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","blocked_by B12 — RATIFIED (OD-20260907-01) · fixture: sc51-first-time-setup.json","PARTIAL_E1_E2: SC51"
"REQ-OQ02","ĐX","P0","precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","","","","E0","PARTIAL","phủ bằng cổng G0/G4 (precode/gates.yaml), không bằng scenario · có hợp đồng, chưa có scenario",""
"REQ-OQ03","ĐX","P0","precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","","","","E0","PARTIAL","blocked_by B13 — RATIFIED (OD-20260907-01) · phủ bằng cổng G0/G4 (precode/gates.yaml), không bằng scenario · có hợp đồng, chưa có scenario",""
"REQ-OQ04","ĐX","P0","contracts/data/entities.yaml;contracts/reporting/time-and-tags.md;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","I06","SC37","CONFLICT;VALIDATION_ERROR","E2","COVERED","blocked_by B04 — RATIFIED (OD-20260907-01) · fixture: j-backfill-add-remove-readd.json","E2: SC37"
"REQ-OQ05","ĐX","P0","contracts/data/entities.yaml;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ops/collector-probe.md;contracts/reporting/selection.md;contracts/retry-policy.yaml;contracts/schemas/ingest-batch.schema.json;contracts/schemas/worker-assignment.schema.json;contracts/state/analysis.yaml;contracts/state/delivery.yaml;contracts/state/report.yaml;contracts/state/run.yaml;contracts/state/storage.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","I02;I10;I13","SC03","SOURCE_LAYOUT_CHANGED;STALE_LEASE;STORAGE_WRITE_FAILED","E2","COVERED","blocked_by B02 — RATIFIED (OD-20260907-01)","PARTIAL_E1_E2: SC03"
"REQ-OQ06","ĐX","P0","contracts/retry-policy.yaml;contracts/state/run.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","I06;I13","SC34","STORAGE_WRITE_FAILED;VALIDATION_ERROR","E2","COVERED","AMD-B08 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: j-dst-boundary-occurrences.json","E2: SC34"
"REQ-OQ07","ĐX","P0","contracts/telegram/delivery.md;precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","","","","E0","PARTIAL","phủ bằng cổng G0/G4 (precode/gates.yaml), không bằng scenario · có hợp đồng, chưa có scenario",""
"REQ-OQ08","KC","P0","contracts/reporting/selection.md;contracts/schemas/report.schema.json;precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","","","","E0","PARTIAL","KC: cần đo thật, phê chuẩn không thay thế được phép đo · phủ bằng cổng G0/G4 (precode/gates.yaml), không bằng scenario · có hợp đồng, chưa có scenario",""
"REQ-OQ09","KC","P0","precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","I05;I06;I12","SC24;SC52","CONFLICT;EMBEDDING_GENERATION_MISMATCH;STORAGE_WRITE_FAILED;TAG_VERSION_STALE","E2","COVERED","KC: cần đo thật, phê chuẩn không thay thế được phép đo · fixture: n-embedding-generation-switch-positive.json","E2: SC24"
"REQ-OQ10","ĐX","P0","contracts/http/openapi.yaml;contracts/ports.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","","","","E0","PARTIAL","phủ bằng cổng G0/G4 (precode/gates.yaml), không bằng scenario · có hợp đồng, chưa có scenario",""
"REQ-S1.4-01","UQ","P0","contracts/ports.yaml;contracts/reporting/selection.md;precode/decision-register.md","","","","E0","PARTIAL","blocked_by B14 — RATIFIED (OD-20260907-01) · phủ bằng cổng G7 (precode/gates.yaml), không bằng scenario · fixture: m-density-worked-example.json · có hợp đồng, chưa có scenario",""
"REQ-S1.4-02","UQ","P0","contracts/reporting/selection.md;precode/decision-register.md","","","","E0","PARTIAL","blocked_by B14 — RATIFIED (OD-20260907-01) · phủ bằng cổng G7 (precode/gates.yaml), không bằng scenario · có hợp đồng, chưa có scenario",""
"REQ-S1.4-03","XN","P0","precode/decision-register.md","I03;I05;I07;I17","SC07;SC23","CONFLICT;IDENTITY_CONFLICT;SOURCE_METADATA_UNAVAILABLE","E1","COVERED","AMD-B15 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","PARTIAL_E1_E2: SC07;SC23"
"REQ-S1.4-04","KC","P0","","","","","NONE","PARTIAL","blocked_by B05 — RATIFIED (OD-20260907-01) · KC: cần đo thật, phê chuẩn không thay thế được phép đo · phủ bằng cổng G7 (precode/gates.yaml), không bằng scenario",""
"REQ-S1.4-05","XN","P0","","","","","NONE","PARTIAL","phủ bằng cổng G7 (precode/gates.yaml), không bằng scenario",""
"REQ-S4-01","UQ","P0","contracts/ui/screens.yaml","I02;I04;I05;I06;I07;I09;I12;I13;I16","SC50","AI_OUTPUT_INVALID;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN","E2","COVERED","blocked_by B04 — RATIFIED (OD-20260907-01)","PARTIAL_E1_E2: SC50"
"REQ-S4-02","UQ","P0","contracts/ui/screens.yaml","I05;I16","SC10","AI_OUTPUT_INVALID;TELEGRAM_SEND_UNCERTAIN","E4","COVERED","blocked_by B01;B14;B17 — RATIFIED (OD-20260907-01) · fixture: sc10-same-analysis-revision-app-and-telegram.json","PARTIAL_E1_E2: SC10"
"REQ-S4-03","UQ","P0","contracts/ui/screens.yaml","I05;I16","SC10","AI_OUTPUT_INVALID;TELEGRAM_SEND_UNCERTAIN","E4","COVERED","blocked_by B06;B07 — RATIFIED (OD-20260907-01) · fixture: sc10-same-analysis-revision-app-and-telegram.json","PARTIAL_E1_E2: SC10"
"REQ-S4-04","UQ","P0","contracts/ui/screens.yaml","I01;I11;I12","SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","blocked_by B04 — RATIFIED (OD-20260907-01) · fixture: sc51-first-time-setup.json","PARTIAL_E1_E2: SC51"
"REQ-S4-05","UQ","P0","contracts/ui/screens.yaml;precode/decision-register.md","I08;I15;I17","SC12","NOT_FOUND;RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED","E2","COVERED","","E2: SC12"
"REQ-S4-06","UQ","P0","contracts/ui/screens.yaml;precode/decision-register.md","I02;I09;I10;I13","SC15;SC33;SC35;SC45","CONFLICT;NOT_FOUND;SOURCE_LAYOUT_CHANGED;STALE_LEASE;STORAGE_WRITE_FAILED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR;X_ACCESS_BLOCKED","E4","COVERED","AMD-B10 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: i-run-now-while-active.json k-cancel-from-every-non-terminal.json","E2: SC33"
"REQ-S4-07","UQ","P0","contracts/ui/screens.yaml","I01;I11;I12","SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","blocked_by B02 — RATIFIED (OD-20260907-01) · fixture: sc51-first-time-setup.json","PARTIAL_E1_E2: SC51"
"REQ-S4-08","UQ","P0","contracts/ui/screens.yaml","I01;I11;I12","SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","blocked_by B08;B13 — RATIFIED (OD-20260907-01) · fixture: sc51-first-time-setup.json","PARTIAL_E1_E2: SC51"
"REQ-S4-09","UQ","P0","contracts/ui/screens.yaml","I01;I11;I12","SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","","PARTIAL_E1_E2: SC51"
"REQ-S4-10","UQ","P0","contracts/ui/screens.yaml","","","","E0","PARTIAL","có hợp đồng, chưa có scenario",""
"REQ-S5.1-01","XN","P0","contracts/ui/screens.yaml;precode/baseline.json","I01;I11;I12","SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","fixture: sc51-first-time-setup.json","PARTIAL_E1_E2: SC51"
"REQ-S5.1-02","XN","P0","contracts/ui/screens.yaml","I01;I11;I12","SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","fixture: sc51-first-time-setup.json","PARTIAL_E1_E2: SC51"
"REQ-S5.1-03","XN","P0","contracts/ui/screens.yaml","I01;I11;I12","SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","blocked_by B13 — RATIFIED (OD-20260907-01) · fixture: sc51-first-time-setup.json","PARTIAL_E1_E2: SC51"
"REQ-S5.1-04","XN","P0","contracts/ui/screens.yaml;precode/decision-register.md","I01;I11;I12","SC47;SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;RATE_LIMITED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","AMD-B09 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: sc51-first-time-setup.json","E2: SC47"
"REQ-S5.1-05","ĐX","P0","contracts/ui/screens.yaml","I01;I11;I12","SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","blocked_by B12 — RATIFIED (OD-20260907-01) · fixture: sc51-first-time-setup.json","PARTIAL_E1_E2: SC51"
"REQ-S5.2-01","XN","P0","contracts/state/run.yaml;precode/baseline.json;precode/decision-register.md","I01;I02;I04;I05;I06;I07;I09;I10;I12;I13;I15;I16","SC01;SC50","AI_OUTPUT_INVALID;RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN;UNAUTHORIZED","E2","COVERED","AMD-B02 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: a-happy-path-schedule-to-delivered.json","PARTIAL_E1_E2: SC01;SC50"
"REQ-S5.3-01","XN","P0","contracts/ui/screens.yaml","I05;I16","SC10","AI_OUTPUT_INVALID;TELEGRAM_SEND_UNCERTAIN","E4","COVERED","fixture: sc10-same-analysis-revision-app-and-telegram.json","PARTIAL_E1_E2: SC10"
"REQ-S5.3-02","ĐX","P0","precode/decision-register.md","I05;I16","SC10","AI_OUTPUT_INVALID;TELEGRAM_SEND_UNCERTAIN","E4","COVERED","AMD-B03 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: sc10-same-analysis-revision-app-and-telegram.json · CR-PC07-04 áp dụng một phần 2026-09-08: trần 4096 ký tự cho một tin đã có nguồn, nhưng chỗ cắt digest nhiều part vẫn cần parse mode và bố cục nút — hai dòng còn KC (BLOCKED_DEPENDENCY). Xem precode/decision-register.md §8.14.1","PARTIAL_E1_E2: SC10"
"REQ-S5.3-03","XN","P0","contracts/ui/screens.yaml","I05;I16","SC10","AI_OUTPUT_INVALID;TELEGRAM_SEND_UNCERTAIN","E4","COVERED","fixture: sc10-same-analysis-revision-app-and-telegram.json","PARTIAL_E1_E2: SC10"
"REQ-S5.4-01","XN","P0","contracts/errors.yaml;contracts/state/run.yaml;precode/decision-register.md","I02;I10;I13","SC04","STALE_LEASE;WORKER_LEASE_EXPIRED;X_CHALLENGE_REQUIRED","E2","COVERED","AMD-B05 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","PARTIAL_E1_E2: SC04"
"REQ-S5.4-02","XN","P0","precode/decision-register.md","I02;I10;I13","SC04","STALE_LEASE;WORKER_LEASE_EXPIRED;X_CHALLENGE_REQUIRED","E2","COVERED","AMD-B03 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","PARTIAL_E1_E2: SC04"
"REQ-S5.4-03","XN","P0","contracts/state/run.yaml","I02;I10;I13","SC04","STALE_LEASE;WORKER_LEASE_EXPIRED;X_CHALLENGE_REQUIRED","E2","COVERED","blocked_by B12 — RATIFIED (OD-20260907-01)","PARTIAL_E1_E2: SC04"
"REQ-S5.4-04","XN","P0","contracts/state/run.yaml;contracts/telegram/commands.yaml;contracts/ui/screens.yaml;precode/decision-register.md","I02;I10;I13","SC04;SC45","CONFLICT;STALE_LEASE;UNAUTHORIZED_COMMAND;WORKER_LEASE_EXPIRED;X_CHALLENGE_REQUIRED","E2","COVERED","AMD-B10 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: l-run-now-while-needs-user.json","PARTIAL_E1_E2: SC04;SC45"
"REQ-S5.4-05","XN","P0","contracts/errors.yaml;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/state/run.yaml;precode/decision-register.md","","","","E0","PARTIAL","có hợp đồng, chưa có scenario",""
"REQ-S5.5-01","XN","P0","","I05","SC05","TAG_VERSION_STALE;UNAUTHORIZED","E1","PARTIAL","blocked_by B01 — RATIFIED (OD-20260907-01) · có scenario, chưa được hợp đồng nào trích dẫn","E1: SC05"
"REQ-S5.5-02","XN","P0","","I04;I05","SC06","AI_OUTPUT_INVALID;CONFLICT","E2","PARTIAL","blocked_by B07 — RATIFIED (OD-20260907-01) · có scenario, chưa được hợp đồng nào trích dẫn","PARTIAL_E1_E2: SC06"
"REQ-S6.1-01","XN","P0","contracts/ops/deployment.md","I01;I02;I04;I05;I06;I07;I09;I10;I11;I12;I13;I15;I16","SC01;SC49;SC50","AI_OUTPUT_INVALID;CAPABILITY_DENIED;FORBIDDEN_EDGE;RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN;UNAUTHORIZED;UNAUTHORIZED_COMMAND","E2","COVERED","","PARTIAL_E1_E2: SC01;SC49;SC50"
"REQ-S6.1-02","ĐX","P0","precode/decision-register.md","I01;I02;I04;I05;I06;I07;I09;I11;I12;I13;I16","SC49;SC50","AI_OUTPUT_INVALID;CAPABILITY_DENIED;FORBIDDEN_EDGE;RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN;UNAUTHORIZED;UNAUTHORIZED_COMMAND","E2","COVERED","blocked_by B12 — RATIFIED (OD-20260907-01)","PARTIAL_E1_E2: SC49;SC50"
"REQ-S6.1-03","ĐX","P0","precode/decision-register.md","I01;I02;I04;I05;I06;I07;I09;I11;I12;I13;I16","SC49;SC50","AI_OUTPUT_INVALID;CAPABILITY_DENIED;FORBIDDEN_EDGE;RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN;UNAUTHORIZED;UNAUTHORIZED_COMMAND","E2","COVERED","AMD-B12 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","PARTIAL_E1_E2: SC49;SC50"
"REQ-S6.2-01","ĐX","P0","precode/decision-register.md","I01;I11","SC49","CAPABILITY_DENIED;FORBIDDEN_EDGE;RESTORE_UNVERIFIED;UNAUTHORIZED;UNAUTHORIZED_COMMAND","E2","COVERED","AMD-B12 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","PARTIAL_E1_E2: SC49"
"REQ-S6.3-01","ĐX","P0","","","","","NONE","PARTIAL","phủ bằng cổng G5 (precode/gates.yaml), không bằng scenario",""
"REQ-S6.4-01","UQ","P0","contracts/ops/backup-restore.md;precode/decision-register.md","I09;I10;I13;I15","SC27;SC42;SC53","RESTORE_UNVERIFIED;STALE_LEASE;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN","E2","COVERED","AMD-B11 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","E2: SC27;SC42;SC53"
"REQ-S6.4-02","XN","P0","contracts/ops/secrets.md","I02","SC31","IDEMPOTENCY_CONFLICT;VALIDATION_ERROR","E1","COVERED","blocked_by B12;B13 — RATIFIED (OD-20260907-01)","E1: SC31"
"REQ-S6.4-03","ĐX","P0","contracts/ops/internet-boundary.md;contracts/ops/secrets.md","","","","E0","PARTIAL","blocked_by B12;B13 — RATIFIED (OD-20260907-01) · có hợp đồng, chưa có scenario",""
"REQ-S7.3-01","XN","P0","contracts/data/entities.yaml;precode/decision-register.md","","","","E0","PARTIAL","có hợp đồng, chưa có scenario",""
"REQ-S7.3-02","ĐX","P0","contracts/http/openapi.yaml;contracts/ports.yaml;precode/decision-register.md","I03;I04","SC30;SC54","AI_OUTPUT_INVALID;CONFLICT;IDEMPOTENCY_CONFLICT;IDENTITY_CONFLICT","E2","COVERED","AMD-B07 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","PARTIAL_E1_E2: SC30"
"REQ-S7.3-03","XN","P0","","I05;I06;I12","SC24;SC52","CONFLICT;EMBEDDING_GENERATION_MISMATCH;STORAGE_WRITE_FAILED;TAG_VERSION_STALE","E2","PARTIAL","fixture: n-embedding-generation-switch-positive.json · có scenario, chưa được hợp đồng nào trích dẫn","E2: SC24"
"REQ-S7.3-04","UQ","P0","contracts/ops/backup-restore.md;precode/baseline.json;precode/decision-register.md","I01;I09;I10;I13;I15","SC27;SC42;SC43;SC44;SC53","CONFLICT;CSRF_REJECTED;INTERNAL;RESTORE_UNVERIFIED;STALE_LEASE;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN;UNAUTHORIZED;VALIDATION_ERROR","E3","COVERED","AMD-B11 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","E2: SC27;SC42;SC53"
"REQ-S7.3-05","XN","P0","contracts/capabilities.yaml;contracts/data/entities.yaml;contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ops/backup-restore.md;contracts/ops/secrets.md;contracts/ports.yaml;contracts/schemas/saved-snapshot.schema.json;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","I01;I08;I13;I15;I17","SC13;SC32;SC44","CONFLICT;CSRF_REJECTED;IDEMPOTENCY_CONFLICT;NOT_FOUND;STORAGE_WRITE_FAILED;UNAUTHORIZED;VALIDATION_ERROR","E2","COVERED","","E2: SC13"
"REQ-S7.3-06","UQ","P0","contracts/ops/backup-restore.md","I01;I08;I15;I17","SC12;SC32;SC48","CONFLICT;NOT_FOUND;RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED;UNAUTHORIZED;VALIDATION_ERROR","E2","COVERED","","E1/E2: SC12;SC48"
"REQ-S8.1-01","ĐX","P0","contracts/reporting/selection.md","","","","E0","PARTIAL","blocked_by B07 — RATIFIED (OD-20260907-01) · có hợp đồng, chưa có scenario",""
"REQ-S8.1-02","XN","P0","contracts/reporting/selection.md","","","","E0","PARTIAL","có hợp đồng, chưa có scenario",""
"REQ-S8.1-03","XN","P0","contracts/reporting/time-and-tags.md;precode/decision-register.md","I05","SC05","TAG_VERSION_STALE;UNAUTHORIZED","E1","COVERED","AMD-B01 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","E1: SC05"
"REQ-S8.1-04","XN","P0","precode/decision-register.md","I04;I05","SC06","AI_OUTPUT_INVALID;CONFLICT","E2","COVERED","AMD-B07 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","PARTIAL_E1_E2: SC06"
"REQ-S8.2-01","XN","P0","contracts/reporting/time-and-tags.md;precode/decision-register.md","I05;I09","SC19","TAG_VERSION_STALE;TELEGRAM_SEND_UNCERTAIN","E2","COVERED","AMD-B01 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt","PARTIAL_E1_E2: SC19"
"REQ-S8.2-02","XN","P0","contracts/reporting/time-and-tags.md;precode/decision-register.md","I05","SC05","TAG_VERSION_STALE;UNAUTHORIZED","E1","COVERED","AMD-B01 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: a-tag-removed-before-publish.json","E1: SC05"
"REQ-S8.2-03","XN","P0","","I04;I05","SC06","AI_OUTPUT_INVALID;CONFLICT","E2","PARTIAL","blocked_by B07 — RATIFIED (OD-20260907-01) · fixture: b-tag-removed-then-readded-reuse-analysis.json · có scenario, chưa được hợp đồng nào trích dẫn","PARTIAL_E1_E2: SC06"
"REQ-S8.2-04","XN","P0","","I06","SC37","CONFLICT;VALIDATION_ERROR","E2","PARTIAL","blocked_by B04 — RATIFIED (OD-20260907-01) · fixture: j-backfill-add-remove-readd.json · có scenario, chưa được hợp đồng nào trích dẫn","E2: SC37"
"REQ-S8.2-05","XN","P0","","I05;I07;I17","SC09","CONFLICT;IDENTITY_CONFLICT","E2","PARTIAL","blocked_by B15 — RATIFIED (OD-20260907-01) · fixture: h-already-announced-work-becomes-reference.json · có scenario, chưa được hợp đồng nào trích dẫn","PARTIAL_E1_E2: SC09"
"REQ-S8.2-06","UQ","P0","contracts/schemas/worker-assignment.schema.json","","","","E0","PARTIAL","blocked_by B01 — RATIFIED (OD-20260907-01) · có hợp đồng, chưa có scenario",""
"REQ-S8.2-07","UQ","P0","contracts/schemas/saved-snapshot.schema.json;contracts/ui/screens.yaml","","","","E0","PARTIAL","có hợp đồng, chưa có scenario",""
"REQ-S8.2-08","ĐX","P0","contracts/reporting/time-and-tags.md;contracts/retry-policy.yaml;contracts/state/run.yaml;precode/decision-register.md","I06;I13","SC02;SC34","STORAGE_WRITE_FAILED;VALIDATION_ERROR","E2","COVERED","AMD-B08 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: j-dst-boundary-occurrences.json","E2: SC34"
"REQ-S8.2-09","UQ","P0","contracts/reporting/time-and-tags.md;contracts/state/report.yaml;precode/decision-register.md","I05;I06;I12","SC08","CONFLICT;EMBEDDING_GENERATION_MISMATCH;TAG_VERSION_STALE","E2","COVERED","AMD-B04 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: d-empty-period-coverage-only.json","E2: SC08"
"REQ-S8.2-10","ĐX","P0","","I08;I17","SC13","CONFLICT;IDEMPOTENCY_CONFLICT;UNAUTHORIZED","E2","PARTIAL","blocked_by B03 — RATIFIED (OD-20260907-01) · có scenario, chưa được hợp đồng nào trích dẫn","E2: SC13"
"REQ-S8.3-01","XN","P0","contracts/data/entities.yaml;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/state/report.yaml;contracts/state/run.yaml;contracts/state/storage.yaml;contracts/ui/screens.yaml","I09;I13","SC15","NOT_FOUND;SOURCE_LAYOUT_CHANGED;STORAGE_WRITE_FAILED;X_ACCESS_BLOCKED","E4","COVERED","blocked_by B02 — RATIFIED (OD-20260907-01) · fixture: d-empty-period-coverage-only.json m-three-run-states-distinct-text.json","PARTIAL_E1_E2: SC15"
